,,
Item Description,Sale Price,
20  LEAVES,"1,600.00",
40  LEAVE,"2,200.00",
7T07 100-100,"2,200.00",
A1 SOAP,"16,500.00",
ABC LIFTON,"1,200.00",
ACI AMANNA,"2,000.00",
ACTIVE YO,"5,400.00",
AJINO DAKI,500.00,
AJINO MOTO,"12,000.00",
AL SABIL YOUGOT,"4,500.00",
ALJALAL HALAWA,"7,000.00",
AMAL MAI,"3,500.00",
APPLE GUM 140,950.00,
APPLE GUM BIG,"1,800.00",
APPLE GUM SMALL,900.00,
APPLE MAI SMALL,"4,800.00",
APPLE VIJU,"6,000.00",
APRIL MAI,0.00,
ASHANA KATAKO,"2,300.00",
ASPTN,"1,000.00",
AUDU YOUGORT,"6,000.00",
AYA,"2,000.00",
BABY FRESH,"2,500.00",
BABY ME POMADE,"5,500.00",
BABY MIX,"3,300.00",
BAKA BIG,700.00,
BAKA SMALL,400.00,
BAKAR DANGOTE,"57,500.00",
BAKI SMAL BY 100,"4,000.00",
BAKIN GAM,"2,500.00",
BAKIN LEDA BIG MAI 80,"6,500.00",
BAKIN LEDA BY 80,"3,300.00",
BAKIN POWDER,"2,400.00",
BATTERY,"1,600.00",
BATTUR,"84,000.00",
BATTUR BIG,"4,000.00",
BETA SOAP,"23,500.00",
BEUTY SPARK,"3,800.00",
BEVI MIX,"3,500.00",
BIRO KOFI,"1,700.00",
BISCUIT 30-30,"2,650.00",
BISCUIT MAI KATAKO,"7,300.00",
BISCUT 50 50,"2,150.00",
"BISQUIT ""  240","10,200.00",
BODYLEEN,"1,800.00",
BORN VITA ROLL,"1,700.00",
BOXI CWAY,0.00,
BROSH,"1,700.00",
BUA MAKARONI,"17,000.00",
BUTTER,800.00,
CADVORY ROLL,"3,400.00",
CARO FRESH BIG,"14,000.00",
CARO FRESH MED,"6,500.00",
CARO FRESH SMALL,"4,000.00",
CHAMPION MADARA,"22,004.00",
CHOKI,"1,100.00",
CHRUNCHY 36,"3,200.00",
CHUKKUM FEED,"24,000.00",
CLOSE UP,0.00,
COCA COLA 35CL,"3,000.00",
COCA COLA SOCL,"4,500.00",
COCA COLA 60CL,"4,800.00",
COCOUNUT MINTI,"4,500.00",
COFFE COWBELL,"1,700.00",
COLGATE,0.00,
COUCONUT CHRUNCY,"6,500.00",
COUSCOUS,120.00,
COWBELL,"24,000.00",
COWBELL ROLL,"1,200.00",
CREAM BISQUIT,"1,800.00",
CROWN SPAGHETTI,"17,500.00",
DAHIR CURRY,"6,800.00",
DAHIR CURRY ROLL,350.00,
DAN DANO,"3,500.00",
DAN GOTE SALT 01,"18,000.00",
DAN YANKA PCS,450.00,
DANGOTE GISHIRI,"18,500.00",
DANGOTE SALT,"18,000.00",
DAYIS,"2,850.00",
DAZZ,"4,800.00",
DEACLEAR,"5,500.00",
DELUX,"12,000.00",
DELUX DAKI,230.00,
DEW,"4,400.00",
DORCO,450.00,
DUDU MILK,"6,500.00",
DUDU SOAP,"4,400.00",
DUDU YOGOT,"7,000.00",
DUSA,"15,200.00",
ECLAIR,"3,500.00",
EVA SOAP,"2,300.00",
EXOTIC,"15,000.00",
FAMILY CARE SOAP,650.00,
FAMLY CARE BIG,0.00,
FAMLY CARE BIG,"11,000.00",
FAMLY CARE SMALL,"4,200.00",
FANTA,"4,500.00",
FANTA SMALL,"3,200.00",
FARA SMALL,800.00,
FARIN LEDA SMALL,"14,000.00",
FAXIM WATER,"1,850.00",
FEARLESS,"5,000.00",
FINISHER FEED,"19,500.00",
FIZZ 800G,"9,500.00",
FIZZ SOAP,"1,350.00",
FLOOR IRS,"63,000.00",
FLOUR MAI KWABO,"58,000.00",
FOREMOST,"11,000.00",
FRESSIA BIG,"4,500.00",
FRESSIA SMALL,"2,500.00",
FRESSIA SOAP,"2,000.00",
G BITA,"3,500.00",
GALAM_MAI,"12,000.00",
GALAM  MANJA,"10,000.00",
GAM CHAJI,450.00,
GARIN KWAKI,"1,000.00",
GARIN TUWO,"28,000.00",
GINNY CHOCO,900.00,
GINO CURRY,0.00,
GISHIRI LEDA,"9,000.00",
GIVE SOAP,0.00,
GLOW BEAUTRY,"2,000.00",
GO FRESH MED,"3,300.00",
GO FRESH SMALL,"2,000.00",
GO FRESS POWER,"3,600.00",
GOLDEN NAIJA FLOOR,"57,000.00",
GOOD CAFE,"12,500.00",
GOOD MAMA 170G,"7,800.00",
GOOD MAMA 22G,"7,500.00",
GOOD MAMA 85G,"7,500.00",
GOOD MAMA 90G,"8,500.00",
GOOD MAMA BIG ROLL,"1,250.00",
GOOD MAMA DIMOND,"6,500.00",
GOOD MAMA MED ROLL,900.00,
GOOD MAMA SMAL ROLL,280.00,
GRAND MALT,"8,000.00",
HABIBA 100GM,"23,000.00",
HABIBA SOGM,"22,000.00",
HABIBA MEDIUM,"2,900.00",
HABIBA SMALL,"1,900.00",
HAMDALEEN,"2,800.00",
HASUE,"8,500.00",
HASUE MINTI,450.00,
HAVEELA YOGOT,"7,000.00",
HPC SOAP,"5,300.00",
HYPO,80.00,
IMA MII MEDIOM,"4,900.00",
INDOME PCS,380.00,
INDOMY SUPREM,"13,000.00",
INDOMY SUPREME 120G 001,"12,900.00",
INDOMY SUPREME 120G 002,"12,900.00",
INFNIX POWER,"3,800.00",
INNO,"2,200.00",
INTENSIVE MAII,"4,200.00",
IRS FLOUR,"63,000.00",
IRS MACCARONI,"12,700.00",
ISBAJA INDOMY,"11,500.00",
JELLINE MED,"7,000.00",
JELLINE SMALL,"3,200.00",
JENKA,"10,000.00",
JENKA DAKI,600.00,
JENKA KWALI,"11,500.00",
JULLY BABY,"3,500.00",
JULLY JUS,"7,200.00",
JULY JUS CARTON,"41,000.00",
JUMBO,"1,200.00",
KAFI BUHU,"50,000.00",
KAFIN AWU,"1,500.00",
KAMPE,"9,600.00",
KANANAN KAYA,"1,000.00",
KENZA MAI,"5,700.00",
KEREMELA,"17,000.00",
KEREMELA ROLL,850.00,
KINGS BISQUIT,"4,700.00",
KLIN 170G,"8,700.00",
KLIN 20G,"7,700.00",
KLIN 90G,"7,500.00",
KLIN BIG ROLL,"1,300.00",
KLIN MED ROLL,750.00,
KREMELA,"17,500.00",
KREMELA MAI EXTRA,"18,500.00",
KREMELA RAL,900.00,
KUDIN AIKI DAKO,"1,000.00",
KWANON_FLOUR,"1,600.00",
KWANON  KWAKI,"1,000.00",
KWANON  SUGER,"2,500.00",
KWANO_GISHIRI,900.00,
LACASERA SMALL,0.00,
LAKASERA 35CL,"3,000.00",
LAKASERA 60CL,"4,000.00",
LAZIZ CHOCO,0.00,
LAZIZ MILK,"11,000.00",
LEMON FRESH,"4,000.00",
LITTER,"4,700.00",
LOLA MINTI,500.00,
LOLA MINTI,650.00,
LUKKY BIRO,"3,200.00",
LUKY JELLY BIG,"5,000.00",
LUKY JELLY SMALL,"2,500.00",
MACA SMALL,"3,200.00",
MACA BIG,"4,700.00",
MADARAN AWU,0.00,
MADARAN ILOKA,"3,500.00",
MAGGI BY 23,"33,500.00",
MAGGI BY 23.5,"34,500.00",
MAGGI DAKI,"1,500.00",
MAI DAN GOMBE,"65,000.00",
MAI LAYI,"1,700.00",
MAKAROMI HONEY,"16,500.00",
MALTINA CAN,"12,200.00",
MALTINA PET,"5,400.00",
MAMA MARIA,"1,700.00",
MAMUDA BY24,"8,200.00",
MAMUDA GOLD SOAP,0.00,
MANGEDA FULL,"63,000.00",
MANJA,"58,000.00",
MANJAAKWA IBON,"60,000.00",
MANTIGER,"1,800.00",
MANTULATOR,"13,000.00",
MASARA,"54,000.00",
MAV SOAP 80,"31,000.00",
MAXXIMA FEED,"24,500.00",
MAY SOAP 40,"9,600.00",
MAY SOAP BIG BY 80,"34,000.00",
MBY MAI,900.00,
MBY SMALL,"1,600.00",
MIEMEE INDOMEE,"10,000.00",
MIKSI,"24,000.00",
MIKSI CHOCOLAT,"22,500.00",
MIKSI ROLL,"1,200.00",
MILKANDY IGIYA,"1,100.00",
MILKOS,"11,000.00",
MILKOS MIX,600.00,
MILKY BIG ROLL,"2,500.00",
MILKY OGODY SMALL,"13,000.00",
MILKY SMAL,"11,000.00",
MILKY SMALL ROLL,700.00,
MILO,"36,000.00",
MILO ROLL,"1,900.00",
MIRINDA APPLE,"4,400.00",
MORNIG FRESH SMALL,700.00,
MORNING FRESH BIG,"2,200.00",
MOSQUITO QOIL,350.00,
MOY SOAP,"9,500.00",
MR CHEP MAGGI,"1,400.00",
MR VEEE WATER,"1,900.00",
MY CO,"13,000.00",
MYMY 80G,"6,000.00",
MYMY MACLEAN,"3,000.00",
MYMY ROLL,750.00,
MYMY SOAP,"17,000.00",
NAFSI RUFAIDA,"6,500.00",
NAFSI YOUGORT,"5,000.00",
NESCAFE 3 IN 1 ROLL,"1,800.00",
NESCAFE ROLL,600.00,
NOVA MED,"8,000.00",
NUTRI MILK BIG,"6,000.00",
NUTRI MILK SMALL,"5,200.00",
NUTRI YO,"6,800.00",
OGOODY,"15,000.00",
OLD BALANCE,"10,000.00",
ONGA SMALL ROLL,320.00,
ONGA 8G,"10,500.00",
ONGA BIG,"8,500.00",
ONGA BIG ROLL,"1,750.00",
ONGA SMALL,"11,000.00",
ORANYO MAI,"72,000.00",
OZONE,"1,100.00",
P NUT,0.00,
PAM PAS ““  50,"4,600.00",
PAMPAS“10,"1,000.00",
PARL G GOLD,"4,700.00",
PASSIOM JELLTY,"5,500.00",
PEACH,"5,400.00",
PEAK HOLANDIYA,"10,000.00",
PEAK MILK,"15,000.00",
PEAK POWDER,"36,000.00",
PEAK POWDER ROLL,"2,000.00",
PENCIL,450.00,
PEPSI,"4,400.00",
PEPSI SMALL,"2,350.00",
POLY BAG,"4,700.00",
POP 20 20,600.00,
POP 5050,"1,900.00",
POP COFFE,"2,200.00",
POP COLA BIG,"3,500.00",
POP COLA SMALL,"2,250.00",
POP FIZZY,"2,200.00",
POP MAI 100,0.00,
POP MAI LOVE,900.00,
POP PANTER,"1,100.00",
POP POWER 33CL,"3,000.00",
POP POWER SOCL,"4,000.00",
POP WATER 75CL,"1,750.00",
POS PAPPPER,"1,900.00",
POWER MINT,700.00,
POWER PASTA SPAGHETTI,"15,500.00",
POWER UP 24,"2,200.00",
POWER UP 72,"1,900.00",
PREDATOR,"5,300.00",
PURE FLOUR,"60,000.00",
QUALITY SOAP,"23,500.00",
RAFA 45G,"7,000.00",
RAFA 85G,"8,200.00",
RAFA KLIN 22G,"7,400.00",
RAMBO LEDA,"3,000.00",
RAMBO ROBA,0.00,
RENEW,"1,300.00",
REXATGR,"6,500.00",
REXATIGER SMALL,"2,500.00",
REXA WANXAN,"2,400.00",
RIXXOLI CAFE,"13,000.00",
RIXXOLI MILK,"13,000.00",
RIYA SOAP,"7,200.00",
RIYA SOAP PCT,700.00,
RIZZOLI,"13,500.00",
RIZZOLI ROLL,600.00,
RIZZOLLI MILK,"13,000.00",
ROBB,"4,300.00",
RUBBER LEE,"1,500.00",
SABIL BIG,"7,600.00",
SABIL MED,"2,200.00",
SABIL MEDDIUN,"29,000.00",
SABIL SMALL,"26,000.00",
SABIL SMALL,"1,100.00",
SAM TEA,"2,300.00",
SANDA SOAP,"13,000.00",
SANDWICH BISCUT BY 240,"11,000.00",
SCHWEPPES,"3,200.00",
SECRET BITE,"6,900.00",
SEMOLINA,"1,800.00",
SEPTOL,"1,850.00",
SHAMI MINTI,"8,000.00",
SHEVING STICK,450.00,
SHWEPES CAN,"10,800.00",
SILIFAS BIG,"6,500.00",
SILIFAS BIG BUHU,"24,000.00",
SILIFAS SMALL,"5,000.00",
SILIFAS SMALL BUHU,"26,000.00",
SIMAS,750.00,
SIRI SOAP,"2,500.00",
SLIPERS,"23,500.00",
SNOW CAKE,"4,200.00",
SO FRESH BIG,"8,800.00",
SO FRESH SMALL,"3,800.00",
SPAGETTI,900.00,
SPRITE,"4,500.00",
STAR ZEEL,"3,000.00",
SUGER,"74,000.00",
SUGER CUBE,0.00,
SUNSEED FEED SSC,"21,000.00",
SUNSEED LAYERS,"18,500.00",
SUPER CHITTA SOCL,"3,800.00",
SUPER GLUE SMALL,950.00,
SUPER GLUEE BIG,"2,000.00",
SUPER M CANDY,430.00,
SUPER MILK CANDY 20,"8,200.00",
SWETTEEENA,"5,000.00",
SYDENE,850.00,
TALIYA CROWN,"12,500.00",
TALIYA IRS,"12,700.00",
TALIYA PASTA DANGOTE,"12,200.00",
TASTY TOM,"8,500.00",
TASTY TOM SPICES,700.00,
THREE CROWN ROLL,"1,500.00",
TIARA,"4,600.00",
TOBO CANDY,"9,500.00",
TOM TOM,"1,000.00",
TOO CLEAN 180G,"7,800.00",
TOO CLEAN 22G,"7,000.00",
TOO CLEAN 22G RALL,270.00,
TOO CLEAN 40G,"5,000.00",
TOO CLEAN 850G,"10,000.00",
TOO CLEAN 85G,"7,300.00",
TOO CLEAN BIG,"1,300.00",
TOO CLEAN MED ROLL,600.00,
TOOCLEAN 140G,0.00,
TOP CAFE,"26,000.00",
TOP CAFE ROLL,"2,300.00",
TOP MOST,"1,800.00",
TOP TEA BAG,"2,700.00",
TOP TEA IGIYA,"12,700.00",
TOP TEA LEDA,"28,000.00",
TOP TEA PACKET,"7,000.00",
TOP TEA ROLL,650.00,
TOTI 181,"3,500.00",
TOTI BIG,"4,000.00",
TOTI SMALL,"2,500.00",
TSAMIYA,"2,500.00",
TUKEY,"60,000.00",
TURARE,900.00,
TWISCO,"1,800.00",
ULTIMA FEED,"25,000.00",
ULTIMA PLOSS,"29,000.00",
V COOL,"3,700.00",
VEDAN,"9,000.00",
VIJU,"5,000.00",
VITALI 3IN1,"1,500.00",
VITALI MILK,"12,000.00",
VITALI TOM,"7,000.00",
VIVA 800G,"11,500.00",
VIVA LEDA,"2,200.00",
VIVA POMMADE,"5,700.00",
VIVO MADARA,"13,000.00",
YELLO  LEVEL,0.00,
YEST,"3,300.00",
YOGOT FARI,0.00,
YOUGO BIG,"7,200.00",
YOUGO SMALL,"5,500.00",
YOUGORT,"5,800.00",
Z AND Y,"2,800.00",
ZAHIR CURRY,"6,200.00",
ZANDY  IGIJI,"10,500.00",
ZAZOOO  DRINK,"8,300.00",
ZIPTOL BIG,"9,500.00",
,,
,,
